Rank,Name,Market Cap,Price,Today,Price (30 days),Country
1,NVIDIANVDA,₹477.106 T,"₹19,698",2.34%,,🇺🇸 USA
2,AppleAAPL,₹445.823 T,"₹30,354",0.69%,,🇺🇸 USA
3,Alphabet (Google)GOOG,₹411.677 T,"₹33,737",0.61%,,🇺🇸 USA
4,MicrosoftMSFT,₹277.360 T,"₹37,338",1.41%,,🇺🇸 USA
5,AmazonAMZN,₹254.828 T,"₹23,689",0.99%,,🇺🇸 USA
6,TSMCTSM,₹212.655 T,"₹41,002",1.21%,,🇹🇼 Taiwan
7,BroadcomAVGO,₹177.195 T,"₹37,245",2.61%,,🇺🇸 USA
8,SpaceXSPCX,₹176.014 T,"₹13,361",3.83%,,🇺🇸 USA
9,Saudi Aramco2222.SR,₹163.234 T,₹674.78,1.05%,,🇸🇦 S. Arabia
10,Meta Platforms (Facebook)META,₹160.279 T,"₹63,141",1.32%,,🇺🇸 USA
11,TeslaTSLA,₹141.635 T,"₹37,712",3.27%,,🇺🇸 USA
12,Samsung005930.KS,₹106.979 T,"₹16,292",10.70%,,🇰🇷 S. Korea
13,Berkshire Hathaway BRK-B,₹102.130 T,"₹47,352",0.31%,,🇺🇸 USA
14,Eli LillyLLY,₹101.394 T,"₹1,13,703",0.06%,,🇺🇸 USA
15,Micron TechnologyMU,₹100.531 T,"₹89,014",4.93%,,🇺🇸 USA
16,WalmartWMT,₹87.036 T,"₹10,937",0.43%,,🇺🇸 USA
17,JPMorgan ChaseJPM,₹85.465 T,"₹31,896",0.85%,,🇺🇸 USA
18,AMDAMD,₹84.526 T,"₹51,838",2.82%,,🇺🇸 USA
19,SK Hynix000660.KS,₹83.837 T,"₹1,18,106",15.37%,,🇰🇷 S. Korea
20,VisaV,₹64.579 T,"₹33,958",1.78%,,🇺🇸 USA
21,ASMLASML,₹64.293 T,"₹1,66,815",2.93%,,🇳🇱 Netherlands
22,Johnson & JohnsonJNJ,₹59.436 T,"₹24,691",0.49%,,🇺🇸 USA
23,Exxon MobilXOM,₹56.979 T,"₹13,747",3.53%,,🇺🇸 USA
24,TencentTCEHY,₹50.244 T,"₹5,582",1.55%,,🇨🇳 China
25,IntelINTC,₹49.970 T,"₹9,942",5.33%,,🇺🇸 USA
26,MastercardMA,₹45.257 T,"₹51,220",1.70%,,🇺🇸 USA
27,CiscoCSCO,₹45.256 T,"₹11,482",1.00%,,🇺🇸 USA
28,Applied MaterialsAMAT,₹44.000 T,"₹55,419",3.79%,,🇺🇸 USA
29,AbbVieABBV,₹41.616 T,"₹23,555",0.69%,,🇺🇸 USA
30,CaterpillarCAT,₹41.110 T,"₹89,255",1.98%,,🇺🇸 USA
31,Bank of America BAC,₹40.157 T,"₹5,659",0.81%,,🇺🇸 USA
32,Lam ResearchLRCX,₹39.607 T,"₹31,672",5.44%,,🇺🇸 USA
33,CostcoCOST,₹39.207 T,"₹88,409",0.92%,,🇺🇸 USA
34,China Construction Bank601939.SS,₹37.633 T,₹143.86,3.56%,,🇨🇳 China
35,UnitedHealthUNH,₹37.301 T,"₹41,074",1.17%,,🇺🇸 USA
36,OracleORCL,₹37.182 T,"₹12,908",4.00%,,🇺🇸 USA
37,General ElectricGE,₹35.515 T,"₹33,991",1.04%,,🇺🇸 USA
38,Coca-ColaKO,₹34.527 T,"₹8,025",0.53%,,🇺🇸 USA
39,ChevronCVX,₹34.314 T,"₹17,230",2.16%,,🇺🇸 USA
40,Morgan StanleyMS,₹33.163 T,"₹21,026",1.07%,,🇺🇸 USA
41,Procter & GamblePG,₹32.805 T,"₹14,088",0.21%,,🇺🇸 USA
42,HSBCHSBC,₹32.200 T,"₹9,389",0.90%,,🇬🇧 UK
43,Home DepotHD,₹32.180 T,"₹32,273",1.67%,,🇺🇸 USA
44,RocheRO.SW,₹31.534 T,"₹39,635",1.41%,,🇨🇭 Switzerland
45,Agricultural Bank of China601288.SS,₹31.504 T,₹90.02,2.25%,,🇨🇳 China
46,Arm HoldingsARM,₹30.822 T,"₹28,858",6.67%,,🇬🇧 UK
47,NetflixNFLX,₹30.051 T,"₹7,137",1.74%,,🇺🇸 USA
48,ICBC1398.HK,₹29.695 T,₹83.32,2.55%,,🇨🇳 China
49,PalantirPLTR,₹29.671 T,"₹12,377",2.10%,,🇺🇸 USA
50,Goldman SachsGS,₹29.460 T,"₹99,863",1.01%,,🇺🇸 USA
51,MerckMRK,₹29.203 T,"₹11,824",0.11%,,🇺🇸 USA
52,NovartisNVS,₹28.045 T,"₹14,698",0.21%,,🇨🇭 Switzerland
53,Royal Bank Of CanadaRY,₹27.887 T,"₹20,068",0.57%,,🇨🇦 Canada
54,KLAKLAC,₹27.678 T,"₹21,189",4.28%,,🇺🇸 USA
55,GE VernovaGEV,₹27.307 T,"₹1,01,620",2.63%,,🇺🇸 USA
56,Philip Morris InternationalPM,₹27.053 T,"₹17,358",0.04%,,🇺🇸 USA
57,Bank of China601988.SS,₹26.955 T,₹83.66,2.25%,,🇨🇳 China
58,DellDELL,₹26.566 T,"₹41,115",1.14%,,🇺🇸 USA
59,LVMHMC.PA,₹26.448 T,"₹53,638",0.33%,,🇫🇷 France
60,Texas InstrumentsTXN,₹26.325 T,"₹28,926",2.86%,,🇺🇸 USA
61,IBMIBM,₹26.300 T,"₹27,982",1.78%,,🇺🇸 USA
62,AlibabaBABA,₹25.936 T,"₹10,820",0.75%,,🇨🇳 China
63,"Palo Alto Networks
PANW",₹25.641 T,"₹31,462",0.97%,,🇺🇸 USA
64,NestléNESN.SW,₹25.520 T,"₹9,922",1.20%,,🇨🇭 Switzerland
65,Wells FargoWFC,₹25.460 T,"₹8,320",0.16%,,🇺🇸 USA
66,RTXRTX,₹25.298 T,"₹18,785",0.28%,,🇺🇸 USA
67,AstraZenecaAZN,₹25.085 T,"₹16,175",1.42%,,🇬🇧 UK
68,SandiskSNDK,₹24.237 T,"₹1,63,665",10.65%,,🇺🇸 USA
69,Mitsubishi UFJ FinancialMUFG,₹23.644 T,"₹2,097",1.29%,,🇯🇵 Japan
70,CATL300750.SZ,₹23.476 T,"₹5,074",2.95%,,🇨🇳 China
71,American ExpressAXP,₹23.224 T,"₹34,037",1.55%,,🇺🇸 USA
72,LindeLIN,₹23.133 T,"₹50,036",1.22%,,🇬🇧 UK
73,SiemensSIE.DE,₹22.649 T,"₹29,695",0.27%,,🇩🇪 Germany
74,CitigroupC,₹22.532 T,"₹13,211",1.86%,,🇺🇸 USA
75,Arista NetworksANET,₹22.330 T,"₹17,735",0.79%,,🇺🇸 USA
76,L'OréalOR.PA,₹22.183 T,"₹41,666",0.21%,,🇫🇷 France
77,ShellSHEL,₹22.151 T,"₹7,994",1.68%,,🇬🇧 UK
78,International Holding CompanyIHC.AE,₹21.699 T,"₹9,893",0.00%,,🇦🇪 UAE
79,KIOXIA Holdings Corporation285A.T,₹21.639 T,"₹39,543",12.86%,,🇯🇵 Japan
80,Kweichow Moutai600519.SS,₹21.392 T,"₹17,113",0.50%,,🇨🇳 China
81,SoftBank Group Corp.9984.T,₹21.373 T,"₹3,750",0.09%,,🇯🇵 Japan
82,China Mobile0941.HK,₹20.925 T,₹966.78,0.63%,,🇨🇳 China
83,Novo NordiskNVO,₹20.913 T,"₹4,726",0.09%,,🇩🇰 Denmark
84,PetroChina0857.HK,₹20.652 T,₹112.84,2.44%,,🇨🇳 China
85,BHP GroupBHP,₹19.839 T,"₹7,810",0.01%,,🇦🇺 Australia
86,ToyotaTM,₹19.803 T,"₹16,724",0.87%,,🇯🇵 Japan
